2023,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
1st,21.9,26.8,24.1,19.9,15.3,,,,,,,
2nd,28.8,26.8,17.0,14.6,13.0,,,,,,,
3rd,23.6,28.5,22.4,17.0,15.5,,,,,,,
4th,20.7,29.3,21.5,14.3,15.4,,,,,,,
5th,21.8,29.2,23.9,11.6,15.1,,,,,,,
6th,21.8,28.4,24.9,15.9,15.1,,,,,,,
7th,22.5,25.7,21.3,6.4,14.2,,,,,,,
8th,27.3,20.6,16.1,16.7,,,,,,,,
9th,31.4,11.4,17.4,18.6,,,,,,,,
10th,31.3,23.6,21.9,18.9,,,,,,,,
11th,31.0,27.0,10.4,18.8,,,,,,,,
12th,25.3,28.3,12.2,15.3,,,,,,,,
13th,27.4,24.6,17.3,11.6,,,,,,,,
14th,30.1,8.3,17.5,12.7,,,,,,,,
15th,28.2,23.3,21.3,15.8,,,,,,,,
16th,30.1,27.7,23.3,10.3,,,,,,,,
17th,26.3,26.3,23.1,17.0,,,,,,,,
18th,29.9,26.6,22.9,17.6,,,,,,,,
19th,18.0,24.0,22.7,14.2,,,,,,,,
20th,16.7,23.4,22.3,10.7,,,,,,,,
21st,28.9,22.8,12.7,12.8,,,,,,,,
22nd,11.4,17.1,17.9,12.3,,,,,,,,
23rd,18.9,10.9,17.8,12.9,,,,,,,,
24th,24.8,25.7,16.9,9.5,,,,,,,,
25th,26.9,24.4,9.4,11.9,,,,,,,,
26th,26.1,24.6,15.9,14.2,,,,,,,,
27th,21.1,21.1,15.2,12.9,,,,,,,,
28th,28.4,21.2,14.2,9.8,,,,,,,,
29th,24.1,,11.5,12.3,,,,,,,,
30th,9.3,,18.8,11.3,,,,,,,,
31st,15.0,,15.2,,,,,,,,,
Highest daily,31.4,29.3,24.9,19.9,15.5,,,,,,,
Lowest daily,9.3,8.3,9.4,6.4,13.0,,,,,,,
Monthly mean,24.2,23.5,18.4,13.9,14.8,,,,,,,
Mean,24.6,21.7,18.7,15.5,12.0,10.1,11.2,14.6,18.6,21.6,23.3,24.8
Highest monthly mean,29.2,25.5,22.6,18.2,14.8,11.4,13.3,16.8,21.6,24.4,28.9,28.1
Lowest monthly mean,21.2,17.9,14.8,10.7,10.4,8.5,9.2,12.6,15.6,18.3,18.1,19.9
